Tweet,Recreational Use,Pain,Sleep,Mental Health,High,Diet/lite,Comparison,Whole plant cannabis,Safety,Regulation,Adverse Event,Questionable production method,Public health warning,FDA warning,Dismissing warning,Crackdown,Gummy/Edible,Cart,Hangover,Positive commentary,negative commentary
it’s like a milder version of the weed we normally smoke or edibles. i smoke delta 8 weed and they have edibles too. it’s pretty reasonably priced too!! check it out at most smoke shops or 50 shades of green,,,,,,,1,1,,,,,,,,,1,1,,,
" ooc

im not doing so good so i might UHHH try to steal some delta 8 to make myself happy.",,,,1,,,,,,,,,,,,,,,,,
Why is this delta 8 gummy hitting me like this I took more yesterday and felt way less high this makes no sense,,,,,,,,,,,,,,,,,1,,,,
I ran into my neighbor and he sells delta 8 stuff for a living and casually gives me some goodies to try out. I love my complex,1,,,,,,,,,,,,,,,,,,,,
" If CBD is diet weed, then delta 8 is weed zero",,,,,,1,,,,,,,,,,,,,,,
" Delta 8 gives me such bad anxiety lmao

Also I heard this dude say he likes to use it bc it's basically like cbd and doesn't pop on a drug test and it was like oh no baby who told u that",,,,1,,,,,,,1,,,,,,,,,,
get delta 8!!! it’s so good friend.,,,,,,,,,,,,,,,,,,,,1,
Lol delta 8 is gr8. Mix it with some CBD flower so it’s not as strong,,,,,,1,,,,,,,,,,,,,,1,
It’s Hundred points symbol honestly. I love my delta 8 pen,,,,,,,,,,,,,,,,,,1,,,
It’s official: California legalizes CBD (but not delta-8 THC) http://dlvr.it/S972Qz,,,,,,,,,,1,,,,,,,,,,,
" id say CBD is seltzer, delta 8 is diet weed xD",,,,,,1,,,,,,,,,,,,,,,
Try delta 8 it’s no JOKE,,,,,,,,,,,,,,,,,,,,,
That Delta 8 do slap tho,,,,,,,,,,,,,,,,,,,,1,
This delta 8 x thc o vape been hitting all week. Order it.,,,,,,,,,,,,,,,,,,,,1,
Delta 8 is nice af too! It’s a legal version of delta 9 and doesn’t give you that anxiety/paranoia forreal,,,,1,,,,,,,,,,,,,,,,,
Delta 8 is the full realization of all the fake “Legal Kush” ads from fifteen years ago,,,,,,,1,,,,,,,,,,,,,,
Idk how I feel towards you if you think Delta 8 gets you “fucked up”,,,,,,,,,,,,,,,,,,,,,1
Yeah that delta 8 shit is crazy,1,,,,1,,,,,,,,,,,,,,,,
" Yeah delta 8 isn't bad at all. I smoke a Delta 8 cart during the day then switch to regular D9 dabs/ect after work :).

I was pleasantly surprised the first time I tried it, for sure.",,,,1,,,1,,,,,,,,,,,,,,
Shoulnt have smocked that delta 8 from te mall kiosk,1,,,,,,,,,,,,,,,,,,,,
yesss i went back to regular flower/carts earlier this year when i went to Denver and i didn’t care too much for the high. i was perplexed like “do i like delta 8 more????”,,,,,,,1,,,,,,,,,,,,,,
yo i just tried Delta 8 flower from the smoke shop. and this shit is actually hella good,,,,,,,,,,,,,,,,,,,,1,
" FDA and CDC Issues Warnings on Delta-8 THC Products via 
@cannabis_net",,,,,,,,,,,,,1,1,,,,,,,
Still trying to wrap my mind around delta 8 thc being legal,,,,,,,1,,,1,,,,,,,,,,,
bought a 10 pack of delta 8 gummies from the single sketchiest most money-laundering store I've ever seen,,,,,,,,,,,,,,,,,1,,,,
" Finally tried Delta-8

Am I high? Yes. 
Am I high as I would be if I smoked some AAA bud? No.

But the good taste and no weed smell makes it worth it if ya out and about.",,,,,1,1,,,,,,,,,,,,,,,
" If you ever have a mind to experiment and can trust a bit, I would seriously recommend Delta 8 THC tinctures or vapes. Great high feeling in your mind and body, but it won’t rip you completely like bud. Much less paranoia.",,,,,,1,,,,,,,,,,,,1,,1,
" Nah delta-8 be having me high as hell lmao and my cat, he fucking loves getting high Loudly crying face .. the gummies hit too",,,,,,,,,,,,,,,,,1,,,,
CBD≠Delta 8 stop comin in my store askin for CBD pens y’all sound like idiots,1,,,,,,1,,,,,,,,,,,1,,,
I wish I had a new battery & a new cart rn. But I don’t want delta 8 no more. I’m tryna d*e when I hit it pause,,,,,,,,,,,,,,,,,,1,,,
" CBD is changing my life. Delta-8 as well. I’ll always love you, Delta-9, but sometimes you’re like driving a rollercoaster to work. 

Still pass that, tho. 

Cannabis is amazing.",,,,,,,1,,,,,,,,,,,,,,
Just buy some delta 8 homie,1,,,,,,,,,,,,,,,,,,,,
Why have I been stressed since I was born?? This fucking sucks. The only thing that's actually fucking helped is weed and now Ive only got this stupid delta 8 shit which fucks with my ptsd-esque symptoms,,,,1,,,,,,,,,,,,,,,,,
" Delta-8 is blowing my mind. Its feels no different than real THC.

Guess I'm a fan now.",,,,,,,1,,,,,,,,,,,,,,
This delta 8 cart really saving me from walking out and sabotaging things going well for me,,,,1,,,,,,,,,,,,,,,,,
I had a delta 8 gummy worm and had to rethink my life for 2 days lmfao,,,,,,,,,,,,,,,,,1,,,,
No cap delta 8 had me geeked.,,,,,1,,,,,,,,,,,,,,,,
I think Delta 8 is real,1,,,,,,,,,,,,,,,,,,,,
i am not smoking anything called kratom or delta 8. i learned my lesson with k2 back in 2009 thank you,,,,,,,1,,,,,,,,,,,,,,
DEA raiding my apartment and making fun of me for smoking delta 8,,,,,,,,,,,,,,1,,1,,,,,
Those delta 8 gummies be hitting low key lmao,,,,,,,,,,,,,,,,,1,,,,
Delta-8 hasn’t really done much for me. It def is a high but not what I’m looking for,,,,,1,,1,,,,,,,,,,,,,,
The 8 in delta 8 stand for 8 seconds bc that’s how long the high last,,,,,,1,,,,,,,,,,,,,,,
" Just got my new delta 8 cart and gummy’s from cbd nugs. Bro, they’re a great company and I definitely recommend them. ",,,,,,,,,,,,,,,,,,1,,,
Delta 8 is lowkey the shit,,,,,,,,,,,,,,,,,,,,1,
" Don’t smoke delta 8 it’s not worth it trust me it’s not good.. Some would say it’s a waste. Don’t smoke delta 8 it’s not recommended by some. 

However me (a genius guy) has NEVER!! Smoked delta 8 from smokers choice. Not once not twice not ever. Seriously who would do that?",,,,,,,1,,,,,,,,,,,,,,
Lmao delta 8 fr just makes me sleepy,,,1,,,,,,,,,,,,,,,,,,
" Just so we're all on the same page, delta 8 edibles will still get you pretty high.",,,,,1,,,,,,,,,,,,1,,,,
Aint no way that was delta-8 I’m off a bean rn,,,,,1,,,,,,,,,,,,,,,,
That's why I didnt say marijuana initiallyHugging face. Herbs and spices just sounds more subtle and neutral. Delta-8 is also great for my anxiety disorders so I'm very grateful we finally have shops that's carry it more,,,,1,,,1,,,,,,,,,,,,,,
" Someone explain why in the state of Tennessee, Delta 9 THC is classified in the same class as heroin. But you can buy delta 8 THC at the local shell for $25. That’s so ass backwards to me.",,,,,,,1,,1,1,,,,,,,,,,,
" The best Delta 8 products I've ever tried, adding the some CBD to the next order cause I'm hearing great things",,,,,,,1,,,,,,,,,,,,,,
Damn delta 8 cart some fucking Reggie,,,,,,,,,,,,,,,,,,1,,,
" Actually, if you dug a smidge you would see that it's actually delta-8, which is legal in every state and I smoke it because it helps with my heart issues. So be kind and do your research.",,1,,,,,,,,,,,,,,,,,,,
Delta 8 ain't shit.,,,,,,,,,,,,,,,,,,,,,1
" I’ve also been doing a LOT of edibles so there’s that, too. Delta 8 THC is the shit (and totally legal in my ass-backwards state which is a bonus). This shit helps me sleep sooooo well.",,,,,,,,,,,,,,,,,1,,,,
Girl are you Delta 8 THC? Because you make me sick to my stomach,,,,,,,,,,,,,,,,,,,,,1
" I don't really get high from Delta 8, just feel good but completely functional.  Great alternative to totally stoned.",,,,,1,,,,,,,,,,,,,,,,
Niggas selling some shit called Delta 8 in smoke shops thats not illegal but will make you fail a drug test. God save us from this laboratory shit.,,,,,,,1,,,,,,,,,,,,,,
Fortunately it's just Delta 8 and nothing too strong,,,,,,1,1,,,,,,,,,,,,,,
" it works best for me with some kinda thc component, big fan of delta 8 lately",,,,,,,1,,,,,,,,,,,,,,
Wakings up high off delta 8 is extremely unpleasant,,,,,,,,,,,,,,,,,,,,,1
" Yesterday, the Washington Medical Commission sent out an alert about children ingesting delta 8 THC products and requiring hospitalization. The Washington Poison Control Center says they have no reports in their database of exposure to delta 8 products, specifically.",,,,,,,,,,,,,1,,,1,,,,,
Because they can manufacture massive amounts of Delta-8 and THC-0?  Farm Bill was a mistake,,,,,,,,,,,,,,,,1,,,,,
This new delta 8 slaps,,,,,,,,,,,,,,,,,,,,1,
adderral is delta-8 meth,,,,,,,1,,,,,,,,,,,,,,
" NEW: The Delta-8 Dilemma

A hemp-derived cannabinoid that supplies a high is roiling the industry, regulators, and health officials.",,,,,,,,,,,,,1,,,,,,,,
Delta 8 is cool i like diet weed,,,,,,1,1,,,,,,,,,,,,,,
" @HawleyMO
 Stop by any “ vape” / alternative supp shop. Pick up Missouri Delta 8 thc supplement. This unregulated supp is severely stronger than most opiod presc drugs and does not require anything other than age 18! So very dangerously stupid of Missouri to allow !!!!",,,,,,,,,,,,,,,,,,1,,,
I’ve researched Delta 8 from Europe to Canada & the Flag of United States. The 5 most common severe side effects of delta 8 are nothing compared to the effect of opioids &Soma that I was on for pain management for 20 years. For the first time in 25 yrs I have less pain because of CBD and Up-pointing red triangle8️⃣ imho.,,,,,,,1,,1,1,,,,,,,,,,,
Uhh so I ate one (1) delta-8 gummy last night and tripped absolute balls??? Does this happen to other people or am I just a massive lightweight??,,,,,1,,,,,,,,,,,,1,,,,
" https://tinyurl.com/yfobmap7 New NORML Report Highlights Concerns Regarding Sale of Unregulated Delta-8 THC, Similar Products",,,,,,,1,,,,,,,,,,,,,,
Is Delta 8 safe? No. Probably not. Am I still gonna get high off it and listen to Les Rallizes Dénudés on weekends? Definitely yes a really big yes.,,,,,1,,,,1,,,,,,1,,,,,,
" I have been using CBD Delta 8 with 40mg of THC in a gummy/sour worm. I take a fourth of a worm & sleep great. You really have to be careful with edibles. I had a bad experience with them, so very conservative with it now.",,,,,,,,,,,,,,,,,1,,,,
Delta 8 is just diet weed,,,,,,1,,,,,,,,,,,,,,,
Idk about y’all but I wouldn’t smoke delta 8,,,,,,,,,1,,,,,,,,,,,,
What're Tommy's thoughts on vaping Delta 8 or Delta 10 products? I laughed at vaping until this worked for pain without getting high.,,,,,,,,,,,,,,,,,,1,,,
i should not have trusted the gas station delta 8 gummies .,,,,,,,,,,,,,,,,,1,,,,
delta 8 products helped a lot - doesnt have the psychoactive properties that cause anxiety/paranoia if u still wanna shmoke(:,,,,1,,,,,,,,,,,,,,,,,
HOW HAS DELTA-8 FUCKED ME UP SO BAD,,,,,1,,,,,,,,,,,,,,,,
Bruh these delta 8 edibles got my spine and brain tickling,,,,,1,,,,,,,,,,,,,,,,
everyone hold on bc i never believed the delta 8 hype and it’s lichrally weed,,,,,,,1,,,,,,,,,,,,,,
i love delta 8 so much y’all,,,,,,,,,,,,,,,,,,,,1,
Delta 8 edibles hit omg,,,,,,,,,,,,,,,,,1,,,,
" Delta 8 is making my current food hyperfixation even worse than it already was.
",,,,,,,,,,,1,,,,,,,,,,
" Last Monday Michigan put all THC products under the MMFLA. So, no more selling Delta 8 at the corner drug store... Flushed face 

#MichiganCannabis
#marijuana",,,,,,,,,,1,,,,,,,,,,,
Time to rot my brain with some delta 8,,,,1,,,,,,,,,,,,,,,,,
Try Delta 8:) google it if you don’t already know:),1,,,,,,1,,,,,,,,,,,,,,
" In Texas right now Delta 8 is legal, it fell through the legislative cracks & it’s awesome:))",,,,,,,,,,1,,,,,,1,,,,,
SUM,44,24,19,47,74,36,125,6,34,47,29,14,34,27,20,44,66,43,1,63,36
